population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,172,Equatorial Guinea,3,Both,22,All ages,345,Malaria,3,Rate,2000,177.32755974091202,281.6451781284559,87.47633410148852
1,All Population,1,Deaths,54,Slovakia,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,13.3288661731186,15.497246001531579,10.962134363326728
1,All Population,1,Deaths,52,Romania,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,10.989476735878823,11.667425862191239,10.393110349650811
1,All Population,1,Deaths,52,Romania,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,2.232783724986453,2.4152771498129955,2.066126719300096
1,All Population,1,Deaths,39,Tajikistan,3,Both,22,All ages,345,Malaria,3,Rate,2000,1.673000406343692,5.402960159144529,0.5635828316514442
1,All Population,1,Deaths,74,Andorra,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,187.441792972087,220.5269877288659,156.64330289379532
1,All Population,1,Deaths,156,United Arab Emirates,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,1.5074565744213722,2.528830590444091,0.8663548328740651
1,All Population,1,Deaths,156,United Arab Emirates,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,1.0248906661039112,1.910730354962023,0.5301876636205778
1,All Population,1,Deaths,156,United Arab Emirates,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,10.691241823521302,15.074955689736727,7.146118608901288
1,All Population,1,Deaths,89,Netherlands,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,279.3210218611549,288.3825321127351,261.9572123757751
1,All Population,1,Deaths,61,Republic of Moldova,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2005,656.0835850280745,683.4032820296193,628.2834040843693
1,All Population,1,Deaths,77,Cyprus,3,Both,22,All ages,1029,Total cancers,3,Rate,2005,182.9410118766334,200.4290638758301,165.14587149354787
1,All Population,1,Deaths,27,Samoa,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,49.488275034731615,65.5238380763464,33.57195616166743
